method,season,accuracy,total,over,under
e,2007,70.5202,692,76,128
m,2007,72.4605,443,73,49
e,2008,73.0044,689,71,115
m,2008,75.0567,441,66,44
e,2009,74.2733,688,68,109
m,2009,75.1092,458,73,41
e,2010,72.9378,691,78,109
m,2010,77.9528,508,72,40
e,2011,72.7931,691,72,116
m,2011,75.3304,454,69,43
e,2012,72.5852,704,77,116
m,2012,78.9883,514,75,33
e,2013,76.5778,713,60,107
m,2013,76.129,465,65,46
e,2014,72.2376,724,87,114
m,2014,74.4283,481,87,36
e,2015,74.9656,727,77,105
m,2015,80.4688,512,61,39
e,2016,70.6371,722,82,130
m,2016,76.0784,510,79,43
e,2017,70.4607,738,86,132
m,2017,75.914,465,65,47
e,2018,73.4332,734,73,122
m,2018,74.397,539,71,67
e,2019,72.1088,735,72,133
m,2019,74.7485,994,142,109
e,2020,71.4567,508,57,88
m,2020,75.2161,347,46,40
e,2021,71.4865,740,89,122
m,2021,72.3887,1101,180,124
e,2022,67.4387,734,104,135
m,2022,60.644,1118,121,319
e,2023,72.5333,750,79,127
m,2023,74.2364,753,118,76
