date,season,neutral,homeTeam,awayTeam,homeScore,awayScore,result,spreadOpen,spreadClose,spreadH2,overUnderOpen,overUnderClose,overUnderH2,homeMoneyline,awayMoneyline
2007-12-01,2007,True,MiamiOhio,CentralMichigan,10,35,0,3.0,3.0,0.0,63.0,64.0,28.5,135.0,-155.0
2007-12-01,2007,True,CentralFlorida,Tulsa,44,25,1,6.0,7.5,3.0,75.0,73.5,38.0,-275.0,235.0
2007-12-01,2007,True,BostonCollege,VirginiaTech,16,30,0,4.0,4.0,3.5,46.0,48.0,24.5,175.0,-205.0
2007-12-01,2007,True,LSU,TennesseeU,21,14,1,7.5,7.0,6.5,61.0,58.0,27.5,-275.0,235.0
2007-12-01,2007,True,Missouri,Oklahoma,17,38,0,3.0,3.0,3.0,68.0,65.0,31.5,130.0,-150.0
2007-12-20,2007,True,Utah,Navy,35,32,1,10.0,9.0,6.0,68.0,63.5,29.0,NaN,NaN
2007-12-21,2007,True,Memphis,FloridaAtlantic,27,44,0,3.0,3.5,35.0,68.0,67.5,0.0,150.0,-170.0
2007-12-22,2007,True,CincinnatiU,SoMississippi,31,21,1,11.0,11.0,7.0,56.0,54.0,27.0,-550.0,450.0
2007-12-22,2007,True,NewMexico,Nevada,23,0,1,3.5,2.0,27.0,63.0,56.5,0.0,-125.0,105.0
2007-12-22,2007,True,BYU,UCLA,17,16,1,4.0,5.5,3.0,47.0,47.0,22.0,-205.0,175.0
2007-12-23,2007,True,BoiseState,EastCarolina,38,41,0,12.5,11.0,7.0,72.0,66.0,31.5,-425.0,355.0
2007-12-26,2007,True,Purdue,CentralMichigan,51,48,1,10.0,8.5,3.0,74.0,70.5,35.0,-335.0,285.0
2007-12-27,2007,True,ArizonaState,Texas,34,52,0,1.5,1.5,30.0,62.5,62.0,2.0,110.0,-130.0
2007-12-28,2007,True,BostonCollege,MichiganState,24,21,1,2.5,5.0,2.0,58.0,56.5,28.0,-205.0,175.0
2007-12-28,2007,True,HoustonU,TCU,13,20,0,3.5,6.5,6.0,61.5,57.0,28.0,210.0,-250.0
2007-12-28,2007,True,OregonState,Maryland,21,14,1,3.5,4.0,3.0,49.0,47.0,24.0,-175.0,155.0
2007-12-29,2007,True,WakeForest,Connecticut,24,10,1,3.5,2.0,3.0,50.0,47.0,21.0,-135.0,115.0
2007-12-29,2007,True,MississippiSt,CentralFlorida,10,3,1,3.0,3.0,2.5,60.5,52.5,21.0,125.0,-145.0
2007-12-29,2007,True,TexasA&M,PennState,17,24,0,6.0,5.0,3.5,51.5,52.0,24.5,175.0,-205.0
2007-12-30,2007,True,Alabama,Colorado,30,24,1,3.5,4.0,27.0,51.0,52.5,1.0,-175.0,155.0
2007-12-31,2007,True,California,AirForce,42,36,1,6.0,4.5,7.0,53.5,57.0,29.0,-190.0,160.0
2007-12-31,2007,True,SouthFlorida,Oregon,21,56,0,7.0,5.5,2.5,52.5,52.0,27.5,-240.0,200.0
